is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,country
0,209094,0.5854,0.7914,3,-8.761,1,0.0241,0.1632,0.1556,0.1313,0.5497,94.179,DE
0,225877,0.78,0.6006,8,-5.975,0,0,0.3825,0,0.2722,0.5302,116.676,US
1,266178,0.6811,0.639,10,-3.082,0,0.0403,0.4374,0.1085,0.232,0.7123,124.381,JP
1,205156,0.7312,0.5393,5,-8.299,0,0.0258,0.0023,0.03928,0.0083,0.461,110.718,BR
0,248426,0.7918,0.8046,7,-7.69,0,0.0848,0.2646,0.22067,0.2499,0.8534,133.341,BR
1,170210,0.795,0.7393,2,-5.217,0,0.1304,0.0703,0.07181,0.1039,0.3169,133.067,DE
0,152245,0.5316,0.7585,3,-8.784,1,0.1827,0.1749,0.10408,0.1227,0.5208,96.935,KR
0,201246,0.8954,0.3922,3,-8.117,0,0.0937,0.1719,0,0.1717,0.8622,103.614,BR
0,193310,0.8187,0.6228,2,-1.628,1,0.1905,0.3937,0.13457,0.0,0.5813,118.115,DE
0,222960,1.0,0.6797,1,-6.577,1,0.0884,0.1369,0.00678,0.3431,0.6346,105.72,BR
0,228273,0.7816,0.6915,8,-2.258,1,0.1179,0.2636,0.04012,0.1897,0.4421,130.443,BR
1,237446,0.6592,0.5347,9,-7.794,0,0.0702,0.1024,0.14328,0.1609,0.5786,110.02,BR
0,138642,0.9282,0.5172,8,-8.201,0,0.0278,0.2659,0,0.0,0.5494,125.257,US
1,203227,0.5322,0.7463,5,-11.038,0,0.1525,0.2215,0.07411,0.1028,0.5785,102.215,US
0,216122,0.7399,0.7217,4,-9.728,0,0.1185,0.2218,0.27473,0.2206,0.241,109.776,BR
0,273220,0.6595,0.6063,0,-2.151,1,0.0644,0.4628,0,0.199,0.1243,142.66,DE
0,157220,0.5834,0.8091,1,-8.385,1,0.1517,0.3776,0.10513,0.0472,0.4753,136.63,JP
0,172097,0.504,0.6387,0,-9.162,1,0.0319,0.2153,0,0.0239,0.6954,139.467,JP
0,231419,0.6082,0.7637,9,-7.406,1,0.1019,0.2097,0.06702,0.066,0.5257,130.641,BR
1,168797,0.6558,0.6149,2,-6.655,1,0.0103,0.3539,0.05012,0.2091,0.4352,104.922,DE
0,267399,0.9197,0.6762,9,-8.666,1,0.0049,0.0,0.06663,0.2114,0.737,119.972,BR
0,253730,0.4882,0.8775,11,-7.313,0,0.0327,0.1693,0.03192,0.2157,0.6054,87.957,BR
0,187143,0.6566,0.7599,7,-5.697,0,0.0298,0.3399,0,0.2181,0.7993,145.212,KR
1,281687,0.6995,0.5172,9,-7.688,0,0.117,0.2543,0.15005,0.2103,0.4771,120.973,US
0,258572,0.9043,0.4195,0,-4.742,0,0.0292,0.2384,0.17274,0.3588,0.5022,169.179,DE
0,229378,0.5449,0.5596,2,-9.373,1,0.06,0.215,0,0.0563,0.375,120.647,DE
0,141678,0.4784,0.4535,0,-8.817,0,0.1625,0.2984,0,0.0927,0.4655,107.42,DE
0,184042,0.6289,0.8527,10,-7.772,1,0.0731,0.2247,0.15009,0.1996,0.4559,123.201,US
1,235441,0.5395,0.7702,6,-7.173,0,0.0848,0.106,0.10844,0.206,0.5599,139.691,DE
1,198923,0.7744,0.6721,2,-8.252,1,0.1677,0.1425,0.07175,0.2148,0.757,117.489,KR
0,247973,0.6443,0.5941,9,-6.507,1,0.1265,0.3294,0,0.0494,0.4463,116.949,JP
0,125515,0.8044,0.6913,5,-11.205,0,0.0167,0.2712,0.09326,0.2793,0.6985,131.505,US
0,277809,0.6076,0.8994,6,-2.387,1,0.0952,0.1451,0.20552,0.0972,0.5025,146.382,DE
1,279044,0.6659,0.7083,2,-9.854,0,0.0411,0.3959,0.20966,0.4205,0.4421,110.855,DE
0,157887,0.5715,0.5543,0,-8.093,1,0.0659,0.3505,0,0.2029,0.7284,108.315,JP
0,203598,0.8744,0.8753,3,-7.574,0,0.0482,0.1432,0,0.0592,0.5929,113.446,US
1,230574,0.6415,0.8434,2,-6.743,1,0.0575,0.1052,0.08517,0.0,0.7593,96.949,KR
0,152663,0.682,0.8569,6,-7.034,1,0.1441,0.1442,0,0.134,0.4235,89.656,US
0,222014,0.6644,0.6,4,-7.637,1,0.0543,0.1236,0,0.1679,0.1965,114.41,JP
0,159566,0.5131,0.7753,5,-8.525,0,0.0676,0.3957,0.0294,0.0701,0.3992,134.908,JP
1,226836,0.6958,0.6116,1,-7.756,0,0.0842,0.3784,0,0.1324,0.7968,121.02,BR
1,210596,0.7679,0.4376,6,-8.789,1,0.0404,0.2113,0.13577,0.1402,0.4739,83.8,BR
0,218218,0.8954,0.7395,2,-7.557,1,0.1076,0.1297,0.34983,0.0,0.4194,134.694,US
0,268201,0.589,0.9476,4,-2.545,1,0.1549,0.2897,0,0.169,0.5933,113.718,JP
0,174588,0.83,0.626,0,-10.195,1,0.0997,0.0696,0.05284,0.0979,0.7847,87.842,KR
0,267242,0.8725,0.7263,5,-5.738,0,0.139,0.2051,0,0.1859,0.5712,135.874,BR
1,170668,0.4684,0.7157,4,-6.523,0,0.0213,0.3294,0.17329,0.0645,0.4238,134.344,DE
0,230588,0.8764,0.549,9,-6.624,1,0.0146,0.3764,0,0.1826,0.4495,119.16,JP
0,144736,0.5404,0.5948,5,-7.489,0,0.1054,0.1909,0.15258,0.0,0.6514,139.326,KR
0,187811,0.6524,0.7839,1,-3.822,1,0.1038,0.097,0,0.1508,0.7458,125.116,KR
0,144225,0.7144,0.6758,0,-10.284,1,0.0678,0.3361,0.28338,0.1514,0.796,147.624,JP
1,220339,0.7586,0.5978,6,-10.139,1,0.1389,0.1747,0.19874,0.0008,0.3994,141.208,US
1,224446,0.5736,0.7798,2,-7.112,0,0.1312,0.0764,0.1605,0.145,0.4216,107.445,DE
0,210648,0.8906,0.6547,11,-1.191,0,0.1664,0.2354,0,0.0049,0.7396,106.424,BR
1,269387,0.7339,0.709,11,-7.756,0,0.0442,0.2305,0.09077,0.3554,0.7054,129.401,US
0,261009,0.5012,0.4975,5,-9.013,0,0.0693,0.3632,0.01221,0.1003,0.4845,136.065,JP
0,263619,0.5312,0.534,5,-5.708,1,0.0917,0.1475,0.00083,0.1885,0.2826,147.133,DE
1,223707,1.0,0.7824,0,-4.804,1,0.155,0.1692,0.09965,0.2157,0.7184,139.858,BR
0,270409,0.8858,0.7347,10,-5.16,0,0.1072,0.1447,0.06179,0.0,0.5108,107.567,BR
0,236108,0.5352,0.7526,11,-3.176,1,0.1595,0.2052,0.02121,0.0637,0.5083,145.822,JP
0,168486,0.5562,0.6696,7,-4.01,1,0.2178,0.4966,0,0.1965,0.6157,121.119,JP
1,258613,0.6312,0.8516,9,-6.677,1,0.0689,0.2761,0.06626,0.2889,0.6648,137.759,BR
0,260996,0.2984,0.5923,2,-9.257,1,0.1265,0.4674,0,0.1764,0.3064,123.251,JP
0,219389,0.66,0.7357,0,-7.718,1,0.135,0.3088,0.10208,0.1837,0.5802,141.48,US
0,178877,0.5561,0.582,0,-6.695,1,0.1535,0.191,0.00736,0.4321,0.8049,125.544,US
0,228061,0.7493,0.756,3,-6.192,1,0.0989,0.1132,0,0.2183,0.5099,127.93,BR
0,218690,0.6166,0.9136,0,-7.189,0,0.0317,0.2855,0,0.1814,0.583,110.847,KR
0,149475,1.0,0.9512,0,-7.868,0,0.109,0.4345,0.13641,0.0862,0.7127,117.041,BR
0,199274,0.5679,0.774,3,-7.94,0,0.0813,0.1105,0.01788,0.1839,0.5543,141.381,JP
0,167144,0.7502,0.6863,11,-11.411,0,0,0.1984,0.15116,0.1955,0.7276,101.058,BR
0,148211,0.745,0.7542,7,-6.63,1,0.0904,0.4009,0.00455,0.2052,0.3325,116.956,DE
0,210392,0.6669,0.6468,10,-4.571,0,0.0766,0.1455,0.058,0.1663,0.4027,141.876,DE
0,250776,0.6464,0.5453,1,-8.05,0,0.1445,0.3814,0,0.0598,0.5145,127.857,JP
0,293419,0.911,0.9747,9,-10.879,0,0.0655,0.1328,0.04062,0.2385,0.7115,123.643,BR
0,192083,0.5847,0.679,10,-5.119,1,0.0471,0.256,0.11671,0.2131,0.6194,124.888,JP
0,241412,0.5215,0.4574,10,-5.034,0,0.0546,0.405,0.01152,0.0525,0.512,142.299,DE
0,192271,0.4488,0.6006,6,-7.855,1,0.1043,0.1904,0.14722,0.2445,0.3529,117.62,JP
1,194632,0.3357,0.7138,11,-2.674,0,0.1249,0.0559,0,0.2236,0.3803,116.042,DE
0,214288,0.6144,0.8768,6,-7.167,1,0,0.1625,0,0.3242,0.4057,112.101,KR
1,210739,0.8774,0.8029,9,-4.022,1,0.1327,0.1577,0.06355,0.1147,0.6308,129.406,US
0,197858,0.5416,0.5659,10,-5.018,0,0.0725,0.2721,0.13213,0.2233,0.5175,123.871,DE
0,166495,0.8352,0.6299,1,-7.306,1,0.0685,0.0903,0.07758,0.1724,0.5927,114.269,KR
0,198081,0.5155,0.7693,2,-7.189,0,0.0492,0.4105,0,0.2022,0.4383,121.584,JP
0,202619,0.5322,0.5792,0,-6.175,0,0.1075,0.3928,0.06297,0.1265,0.8878,136.776,BR
0,217226,0.7158,0.6735,10,-9.547,1,0.0124,0.1256,0,0.1119,0.7096,97.41,KR
0,153297,0.4838,0.6457,1,-5.298,0,0.0568,0.3473,0,0.2469,0.3691,121.45,JP
0,187455,0.618,0.8527,7,-7.002,1,0.1132,0.2805,0.01836,0.1701,0.6477,116.934,BR
0,166906,0.7627,0.6696,7,-9.103,1,0.0639,0.0941,0.11414,0.272,0.6281,105.818,KR
1,183447,0.6829,0.5294,7,-5.909,0,0.0375,0.1382,0,0.078,0.3227,114.097,US
0,230875,0.7764,0.7965,4,-10.654,0,0.0272,0.2345,0.09378,0.0618,0.9019,113.819,BR
0,204651,0.4771,0.8458,6,-9.63,0,0.0016,0.0798,0.12032,0.0,0.4439,108.542,KR
0,178650,0.7876,0.6368,8,-5.088,0,0.1458,0.4004,0.02029,0.1784,0.4151,151.906,DE
0,189703,0.4413,0.753,7,-10.745,0,0.038,0.1756,0,0.2163,0.4074,90.402,KR
1,209913,0.5151,0.8148,7,-8.918,1,0,0.0609,0.07535,0.1238,0.7457,117.552,US
0,222827,0.4641,0.8995,7,-7.928,1,0.0583,0.3879,0,0.1445,0.648,104.626,JP
1,149872,0.5373,0.9949,2,-6.412,1,0,0.2804,0,0.3047,0.7939,101.937,US
0,242843,0.5406,0.6286,5,-8.567,0,0.1597,0.3538,0.02478,0.0,0.4447,133.386,JP
1,186242,0.7093,0.747,0,-3.268,0,0.0429,0.0,0.15447,0.1522,0.5862,127.094,US
1,217233,0.7274,0.6319,6,-5.441,0,0.0232,0.0598,0.16701,0.2136,0.5955,108.113,BR
0,192124,0.5305,0.5246,3,-4.994,0,0.1062,0.2601,0.16574,0.2731,0.4117,145.317,JP
0,189104,0.5885,0.5856,4,-9.369,0,0.1307,0.0764,0.01149,0.2745,0.368,116.213,KR
0,226855,0.3716,0.6879,3,-4.537,1,0.0651,0.2649,0.06193,0.15,0.4215,142.029,JP
0,170983,0.7323,0.6168,1,-10.87,0,0.0715,0.1896,0.09831,0.381,0.7938,109.254,BR
0,163370,0.5792,0.6652,8,-7.99,0,0.0711,0.4018,0,0.1552,0.5619,109.15,JP
0,215410,0.6068,0.6357,6,-8.687,0,0.1038,0.2181,0,0.204,0.5666,105.217,BR
0,191705,0.4799,0.8929,8,-1.702,1,0.0956,0.2742,0.06537,0.0824,0.7818,97.756,KR
1,160496,0.7628,0.6935,10,-0.23,0,0.0083,0.1835,0.23617,0.2276,0.5909,131.128,US
0,199776,0.6472,0.7195,0,-7.179,0,0.1347,0.2125,0.10507,0.1298,0.5864,120.809,US
1,211092,1.0,0.6045,9,-2.769,1,0.1457,0.3224,0.11721,0.1831,0.6173,114.454,BR
1,174225,0.8013,0.76,8,-8.842,1,0.1201,0.204,0,0.1268,0.5479,100.992,BR
0,287820,0.6171,0.6434,3,-10.125,0,0.1416,0.2549,0.05983,0.2517,0.603,94.822,DE
1,161869,0.3851,0.672,8,-8.159,0,0,0.4477,0.1046,0.1505,0.4922,135.299,JP
0,140627,0.6369,0.5137,1,-2.135,0,0,0.2142,0,0.2425,0.7907,128.118,KR
0,207298,0.7641,0.7985,11,-10.687,1,0.0602,0.307,0.11003,0.1904,0.6347,94.558,KR
0,172874,0.6925,0.822,3,-5.38,1,0.0631,0.3079,0.09272,0.2001,0.4975,86.999,KR
1,230616,0.5283,0.7362,5,-5.976,1,0,0.2348,0.03048,0.4652,0.5898,129.556,DE
0,190911,0.7634,0.871,1,-4.346,0,0.1768,0.279,0.06151,0.2255,0.4871,131.029,BR
0,205437,0.9193,0.7634,10,-6.875,1,0.0896,0.1309,0.1544,0.011,0.7901,151.923,US
1,135279,0.6002,0.6968,10,-6.625,1,0.0994,0.2538,0.08117,0.2348,0.5776,118.803,US
0,178179,0.5073,0.7615,1,-8.918,1,0.0336,0.3339,0,0.0205,0.4524,183.659,DE
0,288360,0.6061,0.5647,7,-4.573,1,0.1405,0.1761,0.0019,0.2006,0.4087,137.49,DE
1,265175,0.5722,0.7302,2,-16.843,0,0.0806,0.3891,0,0.1228,0.4807,99.51,JP
0,254361,0.6471,1.0,2,-10.058,0,0.0844,0.3246,0.04296,0.066,0.4169,102.73,KR
0,156652,0.5199,0.8151,7,-0.117,1,0.0875,0.3298,0.17732,0.2069,0.6584,132.563,JP
0,217145,0.6405,0.6245,5,-12.482,0,0.159,0.3219,0.19974,0.0742,0.6584,100.631,JP
1,252184,0.657,0.8019,2,-5.743,0,0.0729,0.0522,0,0.0713,0.46,147.728,US
0,281360,0.5288,0.6868,2,-3.713,1,0.048,0.4217,0.16254,0.2759,0.7737,112.126,DE
0,217603,0.626,0.7435,9,-5.008,0,0.062,0.1567,0,0.1621,0.7741,122.802,BR
0,224576,0.5459,0.6363,5,-10.451,1,0.1211,0.3059,0.01753,0.073,0.5515,102.036,JP
1,197040,0.3854,0.8247,6,-8.933,1,0.0534,0.1642,0,0.1857,0.4256,99.702,US
0,213568,0.6302,0.8326,1,-6.755,0,0.0115,0.4304,0.07097,0.1935,0.9613,100.222,KR
0,170952,0.4898,0.9613,2,-5.844,1,0.0953,0.3463,0.0679,0.2224,0.427,102.768,JP
0,203478,0.7067,0.8087,7,-6.001,0,0.0849,0.2535,0.20883,0.2575,0.3368,111.429,DE
1,227837,0.7876,0.9213,4,-4.628,1,0,0.2262,0.03651,0.3027,0.4475,133.255,US
0,176843,0.8113,0.6161,4,-6.61,0,0.1339,0.3507,0.17195,0.2448,0.7117,97.62,BR
1,251298,0.6644,0.3516,10,-7.918,1,0.0405,0.2112,0.01972,0.2555,0.4726,122.199,DE
0,231103,0.4485,0.6158,7,-7.868,0,0.1144,0.2272,0.06552,0.2236,0.5045,127.927,DE
1,221209,0.719,0.6129,11,-8.234,0,0.1453,0.2796,0,0.0967,0.3499,110.043,BR
0,170838,0.5981,0.6114,2,-5.748,0,0.1487,0.1099,0.11612,0.2087,0.4247,118.331,US
1,176981,0.6508,0.6273,6,-6.741,0,0.0132,0.0773,0,0.2181,0.8153,95.997,BR
0,294325,0.5779,0.9395,4,-6.415,1,0.0668,0.3171,0.03492,0.1171,0.6011,114.905,US
0,178688,0.955,0.659,7,-7.663,0,0.1325,0.1365,0,0.1718,0.6266,119.359,BR
1,198506,0.542,0.7679,9,-9.992,0,0.1364,0.4372,0.0605,0.1928,0.6441,119.196,KR
0,197420,0.801,0.5096,1,-7.114,0,0.0835,0.4388,0,0.2445,0.325,133.624,JP
0,268970,0.4572,0.6432,6,-8.899,0,0.1207,0.4336,0.24249,0.1169,0.3734,108.351,JP
0,120318,0.56,0.8578,7,-7.776,0,0.0311,0.17,0.12616,0.1641,0.5406,115.543,JP
0,180260,0.6578,0.6783,10,-4.197,1,0.0737,0.2926,0.3106,0.1591,0.5957,110.438,JP
0,203544,0.6748,0.9897,10,-4.087,1,0.1101,0.1786,0,0.0,0.4259,135.781,DE
0,237654,0.4569,0.5973,10,-9.161,0,0.0643,0.0477,0.12749,0.1588,0.479,126.738,KR
0,292757,0.6927,0.6152,10,-3.706,1,0.1546,0.0807,0,0.1511,0.7044,90.996,US
0,137283,0.696,0.7162,2,-10.16,1,0.056,0.1498,0.08379,0.3597,0.3435,136.005,KR
0,185996,0.8053,0.4433,9,-6.077,0,0.0411,0.3137,0.16027,0.2633,0.358,126.536,JP
0,224184,0.7772,0.5031,7,-9.3,0,0.0415,0.394,0.07091,0.0463,0.5406,109.765,KR
1,198782,0.9009,0.8199,7,-3.293,0,0.124,0.273,0,0.2054,0.5366,122.246,US
1,204706,0.6345,0.5604,3,-2.747,0,0.0426,0.0991,0.05114,0.3138,0.4089,133.844,DE
0,204289,0.8214,0.9803,7,-5.275,1,0,0.274,0.27236,0.4084,0.4273,116.849,BR
0,249827,0.6,0.7661,2,-3.008,0,0.072,0.0606,0.09657,0.2434,0.5774,113.971,KR
0,166782,0.4674,0.7348,0,-6.645,0,0.057,0.1842,0,0.246,0.4203,131.662,JP
1,175049,0.5497,0.6995,2,-3.616,1,0.0937,0.1306,0.04024,0.1109,0.6001,127.603,US
0,224842,0.437,0.8514,6,-7.396,1,0.1204,0.3479,0.17909,0.0785,0.4984,119.595,KR
0,281242,0.5741,0.6868,1,-8.241,0,0.0754,0.1253,0.04732,0.2325,0.667,120.927,US
1,245421,0.5547,0.768,10,-8.892,1,0.0534,0.2267,0.1749,0.0,0.7363,115.597,BR
0,298375,0.4761,0.7176,5,-2.964,1,0.1049,0.3308,0.12743,0.1413,0.3944,141.096,KR
0,216403,0.7238,0.6862,2,-7.82,0,0.0107,0.2808,0.09858,0.0174,0.7173,130.977,BR
