kind,edition,컴포넌트,name,arch,2.16,2.25,3.2,3.3,3.4,3.5 (EA2),latest_status,upstream,근거,source_url
feature,self-managed,Distributed Inference with llm-d,Batch inference compatible with OpenAI batch APIs in Distributed Inference with llm-d,,—,—,—,—,DP,DP,DP,llm-d,Platform Operators can submit large request volumes asynchronously through the OpenAI- /v1/batches compatible API and retrieve results without maintaining an active connection.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Distributed Inference with llm-d,Batch inference with the OpenAI-compatible Batches API in llm-d,,—,—,—,—,—,TP,TP,llm-d,Distributed Inference with llm-d supports batch inference through the OpenAI-compatible /v1/batches API.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,(미분류),Beta subscription channel no longer used,,—,Removed,—,—,—,—,—,,"Starting with OpenShift AI 2.5, the beta subscription channel is no longer used.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,TrustyAI,Build Generative AI Apps with Llama Stack on OpenShift AI,,—,TP,—,TP,TP,TP,TP,TrustyAI,"With this release, the Llama Stack Technology Preview feature enables Retrieval-Augmented Generation (RAG) and agentic workflows for building next-generation generative AI applications.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/technology-preview-features_relnotes
feature,self-managed,TrustyAI,Build Generative AI Apps with OGX on OpenShift AI,,—,—,—,—,—,TP,TP,TrustyAI,"With this release, the OGX Technology Preview feature enables Retrieval-Augmented Generation (RAG) and agentic workflows for building next-generation generative AI applications.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,KServe,Caikit Standalone ServingRuntime for KServe,,—,Deprecated,—,—,—,—,—,KServe,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. Starting with OpenShift AI 2.25, the Caikit Standalone ServingRuntime for KServe is deprecated and will be removed in a future release of OpenShift AI.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/support-removals_relnotes
feature,self-managed,KServe,Canary rollout support for KServe RawDeployment mode,,—,—,—,—,—,GA,GA,KServe,"In OpenShift AI, you can perform canary rollouts for KServe InferenceService deployments in RawDeployment mode.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,(미분류),Centralized platform observability,,—,TP,—,TP,TP,TP,TP,,"Centralized platform observability, including metrics, traces, and built-in alerts, is available as a Technology Preview feature.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Dashboard,Chat metrics and observability tracing in Gen AI Studio,,—,—,—,—,—,TP,TP,Open Data Hub Dashboard,"This Technology Preview feature introduces an inline metrics panel that displays key performance indicators for each chat instance, including time to first token (TTFT), tokens per second, total token usage, payload sizes, and estimated costs.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,AI Hub,Claude Code agent starter kit,,—,—,—,—,—,DP,DP,Open Data Hub,You can deploy and configure the Anthropic Claude Code agent on Red Hat OpenShift AI by using a CHAPTER 4.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,(미분류),Code Interpreter flow for synthetic Python code generation,,—,—,—,—,—,GA,GA,,"In OpenShift AI, SDG Hub includes a Code Interpreter flow for synthetic Python code generation.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Kuberay,CodeFlare Operator removed,,—,—,Removed,—,—,—,—,KubeRay (Ray),"Starting with OpenShift AI 3.0, the CodeFlare Operator has been removed.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Model Catalog,Cold-start load time and vRAM metrics in the model catalog,,—,—,—,—,—,GA,GA,,"The model catalog displays operational metrics for validated models, including cold-start load time, minimum vRAM requirements, and the runtime command used for benchmarking.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Llama Stack Operator,Compatibility of Llama Stack remote providers and SDK with MCP HTTP streaming protocol,,—,—,DP,DP,DP,DP,DP,Llama Stack,This feature is available as a Developer Preview.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Llama Stack Operator,Compatibility of OGX remote providers and SDK with MCP HTTP streaming protocol,,—,—,—,—,—,DP,DP,Llama Stack,This feature is available as a Developer Preview.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Distributed Inference with llm-d,Comprehensive High Performance Networking Guide for RDMA over Converged Ethernet (RoCE),,—,—,—,GA,GA,GA,GA,llm-d,"NEW FEATURES AND ENHANCEMENTS A documentation guide provides the roadmap for establishing high-availability, production-grade distributed inference with llm-d environments using RoCE.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.3/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,MLflow,Configuration persistence for Gen AI Studio,,—,—,—,—,—,DP,DP,MLflow,"You can save your Gen AI Studio Playground configuration as a named, reusable agent scoped to your project namespace.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Distributed Inference with llm-d,Configure vLLM runtime arguments using Kubernetes container field,,—,—,—,—,GA,GA,GA,llm-d,You can configure vLLM runtime arguments using the standard Kubernetes container args field in LLMInferenceService resources.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Distributed Inference with llm-d,Configuring AuthN/AuthZ for llm-d,,—,—,—,GA,GA,GA,GA,llm-d,A documentation guide for configuring Authentication (AuthN) and Authorization (AuthZ) for Distributed Inference with llm-d is now available.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.3/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Distributed Inference with llm-d,Controlled deployment for Distributed Inference with llm-d,,—,—,—,—,—,GA,GA,llm-d,"With this update, you can use controlled deployment with Distributed Inference with llm-d to validate engine upgrades, model version rotations, and configuration changes on a fraction of production traffic before a full promotion.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Llama Stack Operator,Conversations API,,—,—,—,—,TP,TP,TP,Llama Stack,"The Conversations API enables multi-turn, context-aware chats by managing message history, tool outputs, and conversation state.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Llama Stack Operator,Conversations API on OGX,,—,—,—,—,—,TP,TP,Llama Stack,The OpenAI Conversations API is available on OGX.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,LMEval,Core Evaluation Stack control plane,,—,—,—,—,DP,DP,DP,LM Evaluation Harness,"The Evaluation Stack control plane provides an API REST routing and orchestration layer for AI evaluation, benchmarking, and profiling backends on OpenShift AI.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Data science pipelines,CPU-only support for AutoRAG deployments,,—,—,—,—,—,GA,GA,Kubeflow Pipelines,"AutoRAG optimization supports CPU-only infrastructure, enabling you to evaluate Retrieval- Augmented Generation (RAG) pipelines without requiring GPU resources.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Model Registry,Create ability to sign and verify AI Artifacts in Registry,,—,—,—,—,TP,TP,TP,,For more information about signing and verifying models in the Model Registry see https://github.com/kubeflow/model-registry/tree/main/clients/python#signing-and-verifying- models.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Workbenches,Cross-namespace shared workspace access for curated resources,,—,—,—,—,—,TP,TP,Kubeflow Notebooks,"You can access curated resources, starting with prompts in GenAI Studio, from a designated global Red Hat OpenShift AI Self-Managed 3.5 Release notes workspace.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Model Catalog,CSV export for model catalog data,,—,—,—,—,—,DP,DP,,You can export model catalog metadata to CSV format by using a standalone Python CLI script.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Workbenches,CUDA - RStudio Server notebook image,,TP,TP,—,—,—,—,—,Kubeflow Notebooks,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. With the CUDA - RStudio Server notebook image, you can access the RStudio IDE and NVIDIA CUDA Toolkit.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.16/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Workbenches,CUDA - RStudio Server workbench image,,—,TP,—,TP,TP,TP,TP,Kubeflow Notebooks,"With the CUDA - RStudio Server workbench image, you can access the RStudio IDE and NVIDIA CUDA Toolkit.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Kubeflow Trainer v2,CUDA-compatible KFTO image,,GA,GA,—,—,—,—,—,Kubeflow Trainer,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. The CUDA-compatible KFTO cluster image, previously available as a Developer Preview feature, is tested and verified.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.16/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Dashboard,Custom connection types,,GA,GA,—,—,—,—,—,Open Data Hub Dashboard,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. Administrators can use the enhanced connections feature to configure custom connections to data sources such as databases, making it easier for users to access data for model development.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.16/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Llama Stack Operator,Custom embeddings on Llama Stack,,—,—,TP,TP,TP,TP,TP,Llama Stack,OpenShift AI 3.2 allows you to customize your embedding models as a Technology Preview feature.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Llama Stack Operator,Custom embeddings on OGX,,—,—,—,—,—,TP,TP,Llama Stack,OpenShift AI 3.2 allows you to customize your embedding models as a Technology Preview feature.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Data science pipelines,Custom flow estimator for Synthetic Data Generation pipelines,,—,—,—,TP,TP,TP,TP,Kubeflow Pipelines,You can use a custom flow estimator for synthetic data generation (SDG) pipelines.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Workbenches,Custom role creation UI for data science projects,,—,—,—,—,—,GA,GA,Kubeflow Notebooks,"Project administrators can create, edit, and duplicate custom RBAC roles for workbenches directly from the Roles tab in data science projects, without requiring CLI access or YAML expertise.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,KServe,Customizable serving runtime parameters,,GA,GA,—,—,—,—,—,KServe,⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. You can now pass parameter values and environment variables to your runtimes when serving a model.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.16/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Model Registry,Default database solution for Model Registry,,—,—,—,—,GA,GA,GA,,Model Registry includes a default database solution for testing.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Llama Stack Operator,Default vector store for GenAI Studio,,—,—,—,—,—,TP,TP,Llama Stack,GenAI Studio includes a default PostgreSQL vector store with the pgvector extension enabled for playground Retrieval-Augmented Generation (RAG) workflows.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Data science pipelines,Define and manage pipelines with Kubernetes API,,—,GA,—,—,—,—,—,Kubeflow Pipelines,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. You can now define and manage data science pipelines and pipeline versions by using the Kubernetes API, which stores them as custom resources in the cluster instead of the internal database.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Dashboard,Deployment strategy selection for model serving,,—,—,GA,GA,GA,GA,GA,Open Data Hub Dashboard,You can now configure the deployment strategy for model deployments from the OpenShift AI dashboard.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.2/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Workbenches,Deprecated accelerator profiles,,—,Deprecated,—,—,—,—,—,Kubeflow Notebooks,⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. Accelerator profiles are now deprecated.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/support-removals_relnotes
feature,self-managed,Dashboard,Deprecated annotation format for Connection Secrets::,,—,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Open Data Hub Dashboard,"Starting with OpenShift AI 3.0, the opendatahub.io/connection-type-ref annotation format for creating Connection Secrets is deprecated.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Kuberay,Deprecated cluster configuration parameters,,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,KubeRay (Ray),"When using the CodeFlare SDK to run distributed workloads in Red Hat OpenShift AI, the following parameters in the Ray cluster configuration are now deprecated and should be replaced with the new parameters as indicated.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Kuberay,Deprecated CodeFlare Operator,,—,Deprecated,—,—,—,—,—,KubeRay (Ray),"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. Starting with OpenShift AI 2.24, the CodeFlare Operator is deprecated and will be removed in a future release of OpenShift AI.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/support-removals_relnotes
feature,self-managed,Workbenches,Deprecated embedded Kueue component,,—,Deprecated,—,—,—,—,—,Kubeflow Notebooks,⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. SUPPORT REMOVALS is deprecated.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/support-removals_relnotes
feature,self-managed,KServe,Deprecated KServe Serverless deployment mode,,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,KServe,"Starting with OpenShift AI 2.25, The KServe Serverless deployment mode is deprecated.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Kubeflow Trainer v2,Deprecated Kubeflow Training operator v1,,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Kubeflow Trainer,The Kubeflow Training Operator (v1) is deprecated starting OpenShift AI 2.25 and is planned to be removed in a future release.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Kubeflow Trainer v2,Deprecated LAB-tuning,,—,Deprecated,—,—,—,—,—,Kubeflow Trainer,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. Starting with OpenShift AI 2.25, the LAB-tuning feature is deprecated.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/support-removals_relnotes
feature,self-managed,Model Registry,Deprecated model registry API v1alpha1,,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,,"Starting with OpenShift AI 2.24, the model registry API version v1alpha1 is deprecated and will be v1beta1 removed in a future release of OpenShift AI.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,KServe,Deprecated OpenVINO Model Server (OVMS) plugin,,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,KServe,The CUDA plugin for the OpenVINO Model Server (OVMS) is now deprecated and will no longer be available in future releases of OpenShift AI.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Llama Stack Operator,Deprecated SQLite as a production metadata store for Llama Stack,,—,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Llama Stack,"Starting with OpenShift AI 3.2, SQLite is deprecated for use as a metadata store in production Llama Stack deployments.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,KServe,Deprecated Text Generation Inference Server (TGIS),,—,Deprecated,—,—,—,—,—,KServe,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. Starting with OpenShift AI version 2.19, the Text Generation Inference Server (TGIS) is deprecated.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/support-removals_relnotes
feature,self-managed,TrustyAI,Deprecated TrustyAI service CRD v1alpha1,,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,TrustyAI,"Starting with OpenShift AI 2.25, the v1apha1 version is deprecated and planned for removal in an upcoming release.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Llama Stack Operator,Deprecation of Llama Stack and transition to OGX,,—,Deprecated,—,—,—,—,—,Llama Stack,"⚠️2.x 문서에만 언급 — 3.x deprecated 여부 직접 확인 필요. Previously, Llama Stack was available as a Technology Preview in OpenShift AI 2.25.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/2.25/html/release_notes/support-removals_relnotes
