amount,age,tenure_months,num_claims,credit_score,distance_km,channel,label
4885.85,37,86,0,779,16.0,0,0
4109.57,65,172,3,870,3.4,1,0
272.98,26,116,2,568,39.3,1,0
1868.4,33,120,0,874,13.0,1,0
1297.0,71,118,1,718,34.2,0,0
2405.8,50,29,0,540,8.7,0,0
1325.15,63,138,3,458,90.8,1,0
2241.23,36,8,2,522,27.8,1,0
1324.08,62,94,2,362,57.8,1,0
4786.82,71,116,0,517,0.6,0,0
1052.73,69,144,1,370,123.8,0,0
1621.61,68,37,0,583,6.9,0,0
1399.73,26,169,0,434,2.1,0,0
1678.24,20,44,1,353,31.8,0,0
1248.87,49,114,2,825,9.2,0,0
1568.56,65,168,1,769,74.4,0,0
306.92,62,27,5,754,25.3,0,0
827.91,27,70,2,690,40.4,1,0
659.42,63,29,1,740,8.8,1,0
1209.46,44,106,0,620,58.6,1,0
1085.82,62,121,0,393,119.1,0,0
3219.16,70,33,0,900,57.4,1,0
1384.18,67,108,0,594,63.2,1,0
284.38,61,123,1,410,7.0,1,0
512.76,55,57,3,874,70.2,0,0
62.43,20,46,1,616,31.5,1,0
1548.47,61,102,0,445,40.2,0,0
230.62,48,87,0,678,12.6,1,0
1525.96,24,13,0,461,31.1,0,0
894.19,50,155,5,724,78.3,1,0
176.15,26,72,5,839,17.1,1,0
405.06,19,52,1,516,53.1,0,0
1013.95,50,110,0,432,39.6,1,0
1439.15,61,90,0,706,70.8,0,0
615.24,39,147,3,887,24.0,1,0
554.99,20,83,0,771,29.8,1,0
1826.59,56,102,0,705,4.8,1,0
1663.15,23,130,0,843,88.4,0,0
213.79,71,165,0,541,72.3,0,0
1862.66,67,167,0,481,71.4,1,0
618.14,62,144,2,623,0.5,0,0
878.92,69,70,0,660,31.0,0,0
709.86,72,73,0,392,24.1,1,0
1304.19,76,10,5,885,3.7,0,0
352.19,22,115,0,651,23.5,0,0
1729.25,47,112,0,672,46.7,1,0
767.64,62,153,0,642,64.9,0,0
185.66,35,168,0,641,5.9,0,0
2077.55,60,178,3,432,48.8,0,0
698.37,71,32,0,733,69.6,1,0
132.49,40,124,1,531,111.6,0,0
450.15,51,138,0,644,87.6,0,0
1736.22,63,159,0,748,40.8,0,0
706.92,47,156,1,759,6.4,0,0
204.32,49,49,2,884,87.7,1,0
908.23,52,107,0,504,58.5,0,0
2825.46,42,141,0,828,34.7,0,0
1298.56,76,131,0,747,11.8,0,0
1487.18,41,6,3,354,63.1,1,0
1632.0,42,57,0,626,148.6,0,0
361.5,27,9,1,783,37.3,0,0
834.56,76,20,0,562,30.7,0,0
1105.09,52,108,0,595,0.5,0,0
2695.3,69,159,5,364,32.3,0,0
659.01,59,131,1,447,20.1,1,0
364.4,45,47,0,836,0.4,1,0
560.95,51,141,0,699,12.2,1,0
101.0,66,4,2,369,45.2,1,0
813.26,56,85,0,345,4.4,1,0
1561.6,68,175,5,790,2.9,0,0
3594.11,48,9,1,506,46.7,0,0
2184.15,38,131,3,856,2.9,1,0
1220.2,41,12,2,579,6.0,0,0
198.78,47,98,2,491,35.6,1,0
601.71,36,21,3,380,72.9,1,0
2027.02,39,26,0,635,25.1,1,0
63.43,63,113,2,757,5.3,0,0
2960.65,46,70,0,376,9.1,1,0
1913.97,20,36,5,335,37.3,0,1
1455.35,43,145,0,457,17.6,1,0
565.94,55,35,2,707,68.9,1,0
1201.8,66,47,5,830,39.6,1,0
3113.3,64,114,1,592,66.6,1,0
1587.09,30,113,0,627,31.8,1,0
18.42,38,40,0,670,9.8,0,0
1448.66,69,126,0,669,40.8,1,0
1986.38,75,22,0,616,17.8,1,0
843.93,68,104,0,428,27.9,1,0
953.77,41,32,0,432,38.7,1,0
3114.19,52,39,1,468,35.6,0,0
850.59,52,72,0,556,15.7,0,0
463.51,38,157,0,814,13.5,0,0
396.27,58,154,2,877,8.1,0,0
1650.32,60,147,1,515,22.2,1,0
4288.36,53,74,1,794,35.9,0,0
699.37,23,176,0,461,10.8,1,0
133.9,28,80,2,653,28.1,1,0
123.53,39,61,5,425,57.3,1,0
1506.08,43,157,3,554,30.0,0,0
3392.5,31,40,5,827,5.8,1,0
1083.19,44,129,5,546,28.1,0,0
2362.78,57,167,5,592,29.8,0,0
1616.15,65,93,3,674,54.8,0,0
307.67,54,73,0,695,8.8,1,0
362.86,62,156,0,431,138.2,0,0
1580.01,42,36,1,821,15.0,1,0
1981.61,40,121,5,452,26.1,0,0
522.79,58,76,2,819,4.5,1,0
350.91,42,84,0,726,90.0,1,0
846.44,20,152,5,571,40.3,0,0
406.23,59,158,3,451,7.7,0,0
1885.8,20,112,2,728,13.8,0,0
1705.85,58,120,0,441,65.3,0,0
2911.19,43,80,0,770,19.5,1,0
154.87,62,164,1,795,51.9,0,0
971.07,38,73,1,800,53.1,1,0
2052.2,65,70,1,424,14.6,1,0
111.91,68,37,1,343,42.6,1,0
4194.18,60,65,5,519,63.3,0,0
944.82,36,35,0,900,70.9,0,0
309.01,59,59,0,402,23.1,1,0
1034.08,27,1,0,716,30.4,1,0
2407.32,39,73,0,391,117.9,0,0
607.63,77,44,3,480,72.6,0,0
199.59,78,74,0,309,48.2,1,0
4545.0,37,116,5,437,91.3,1,1
1685.49,65,117,1,490,13.4,0,0
1692.24,67,49,0,715,30.1,1,0
3108.09,30,35,5,631,50.8,0,1
14.51,36,84,1,896,49.1,0,0
500.32,61,30,5,614,42.7,0,0
1985.06,64,79,0,602,18.7,1,0
1354.83,28,116,2,725,41.0,1,0
2099.64,67,63,0,838,50.8,1,0
963.31,26,15,1,886,88.2,0,0
2188.69,62,52,5,393,14.2,1,0
523.5,48,144,0,872,33.8,1,0
1087.52,35,0,1,892,27.8,0,0
895.28,22,17,5,332,32.0,1,0
1503.96,65,165,3,683,47.7,1,0
2466.87,24,174,0,656,0.6,0,0
590.06,65,57,0,323,8.6,1,0
895.9,43,58,1,771,21.2,1,0
2353.66,67,28,0,729,95.6,0,0
3036.54,47,153,0,550,42.0,0,0
1303.15,74,14,0,815,47.9,1,0
2900.3,55,153,2,542,6.3,1,0
3013.26,45,76,1,362,15.6,0,0
374.56,41,164,3,837,40.7,1,0
138.05,30,137,5,546,38.4,0,0
484.7,77,14,3,726,49.9,0,0
1157.85,24,115,2,394,55.8,0,0
265.17,21,18,1,872,58.0,0,0
2120.78,77,3,1,494,6.3,0,0
1290.5,63,154,1,706,68.7,0,0
1434.38,53,166,2,615,18.7,1,0
2444.96,70,120,2,508,10.1,1,0
4074.01,66,37,0,567,42.6,1,0
1559.73,55,62,5,863,47.3,1,0
2899.88,60,125,5,472,73.9,1,1
877.98,77,138,0,836,25.5,0,0
3672.37,22,1,3,440,53.2,0,1
1813.94,48,95,0,794,42.8,1,0
312.68,20,135,1,848,11.7,1,0
2068.05,70,45,0,398,35.2,0,0
364.87,41,68,3,380,0.9,1,0
117.14,63,57,1,382,27.6,0,0
180.99,22,163,0,475,54.9,0,0
1204.24,55,24,0,535,48.3,0,0
511.77,36,11,0,587,28.4,0,0
1357.22,32,150,0,707,14.3,0,0
585.41,73,99,2,693,0.2,0,0
974.39,66,88,0,400,5.0,1,0
3016.09,58,152,3,634,45.1,0,0
1543.47,33,91,3,742,22.8,0,0
862.05,58,75,1,375,5.7,0,0
713.99,28,99,2,669,67.9,0,0
2723.7,67,69,0,435,4.8,0,0
610.4,45,26,0,391,36.1,1,0
955.38,74,98,0,598,20.1,1,0
3980.65,76,62,0,689,63.7,0,0
647.84,23,42,3,582,64.2,1,0
1489.4,34,160,5,500,17.1,1,0
31.48,40,158,3,637,111.8,1,0
2388.4,57,34,1,628,52.6,0,0
1863.93,39,74,5,889,56.2,0,0
701.66,42,29,1,858,89.0,0,0
2327.14,48,53,5,598,10.6,0,0
1635.4,50,35,1,547,19.4,1,0
626.55,23,114,5,896,48.9,1,0
3884.79,45,139,0,668,17.3,0,0
1224.65,29,165,0,876,79.1,1,0
112.4,25,2,0,564,82.2,0,0
763.42,55,56,5,683,13.8,1,0
216.14,28,88,0,794,35.4,0,0
1758.0,72,36,2,619,11.9,1,0
1661.2,49,24,5,763,64.3,1,1
3470.23,20,87,0,468,37.5,0,0
74.01,46,118,1,714,8.5,0,0
372.08,66,157,1,760,13.5,1,0
914.3,67,180,0,891,6.1,0,0
193.23,31,117,0,568,11.2,1,0
97.72,58,100,0,656,21.4,1,0
835.61,64,76,0,437,29.3,1,0
874.76,63,36,3,728,43.9,0,0
333.66,53,177,0,868,41.5,0,0
2029.17,47,158,0,667,46.8,0,0
1699.01,54,129,5,718,57.1,1,0
2129.95,24,144,0,525,19.1,1,0
1394.88,68,117,5,862,52.6,0,0
989.42,42,138,0,751,69.7,0,0
3459.3,67,63,1,333,65.2,1,0
1614.68,74,30,1,514,7.0,1,0
20.29,58,35,1,511,7.0,0,0
780.46,29,82,1,596,9.1,1,0
2006.84,71,24,0,721,12.2,0,0
1724.26,74,33,1,449,4.5,1,0
1362.26,50,36,1,724,39.9,1,0
863.12,24,103,1,677,41.3,1,0
1150.73,68,23,5,666,22.5,0,0
1952.3,71,54,5,574,82.9,1,0
167.88,55,124,2,349,64.8,0,0
1551.68,26,40,5,767,23.4,0,0
3250.45,77,33,1,462,77.9,1,1
802.12,61,166,0,353,32.8,1,0
821.75,46,167,0,397,46.3,0,0
2976.55,52,174,5,309,45.3,0,0
3028.56,46,177,0,789,88.7,0,0
3499.58,25,80,2,606,58.6,0,0
2384.88,60,173,0,370,55.1,0,0
1916.9,32,160,0,721,51.9,1,0
1790.37,67,31,3,659,29.5,1,0
1971.03,24,63,1,327,44.8,1,0
440.87,44,75,0,545,3.9,1,0
1319.77,23,135,0,669,76.9,1,0
2447.1,42,139,0,782,19.8,0,0
2266.0,21,15,3,818,32.8,1,0
354.31,63,102,0,849,19.7,0,0
540.19,32,39,2,700,64.5,0,0
2231.99,34,14,1,388,57.9,1,0
815.82,61,168,0,422,11.3,0,0
930.77,41,133,1,470,2.8,1,0
1430.62,75,30,0,643,11.0,1,0
3379.7,55,160,0,808,44.7,1,0
3992.59,29,94,0,561,47.0,0,0
859.22,66,130,0,345,2.4,0,0
250.92,28,45,0,866,26.9,1,0
1236.42,39,69,0,885,109.0,1,0
971.36,33,132,0,710,8.3,0,0
2922.14,38,83,0,866,31.4,1,1
1789.34,38,159,1,775,69.1,1,0
1379.41,31,139,1,454,22.9,0,0
3052.27,59,177,0,643,27.5,0,0
550.05,38,26,1,842,65.9,0,0
5103.5,28,71,0,344,5.9,0,0
1112.43,42,117,0,894,12.3,0,0
222.37,56,145,0,745,10.4,0,0
1109.96,70,100,2,625,54.7,1,0
2100.52,68,149,0,459,32.2,0,0
297.54,53,91,1,762,28.6,1,0
1592.05,70,175,1,341,6.1,0,0
891.95,34,91,3,825,35.4,0,0
907.2,20,103,5,869,142.1,0,0
3337.57,26,3,0,527,62.5,0,0
652.7,60,21,1,376,55.6,0,0
1896.99,70,32,0,639,74.6,0,0
317.46,55,110,3,808,25.9,0,0
55.87,77,47,1,586,36.6,1,0
3235.12,34,165,1,810,32.0,1,0
562.81,43,35,3,504,22.3,0,0
2059.53,43,91,5,857,47.4,1,0
10.57,36,46,0,626,5.9,0,0
1653.36,70,120,2,898,10.2,0,0
2973.84,36,136,0,524,54.4,1,0
2740.62,30,60,2,667,45.4,0,0
41.67,28,144,1,804,61.6,1,0
1695.59,57,56,0,839,23.2,1,1
2075.23,27,87,0,631,6.8,0,0
1664.79,68,28,2,374,26.2,1,0
155.26,40,77,2,439,25.2,0,0
775.7,50,166,2,478,42.1,1,0
410.28,38,176,1,430,6.8,0,0
4668.2,44,145,0,486,10.8,1,0
2237.85,55,26,5,444,14.3,1,0
1521.24,29,162,0,643,133.4,1,1
1777.86,41,65,0,301,79.5,0,0
768.02,75,105,5,687,84.9,1,0
2577.66,74,147,1,466,47.2,1,0
1909.79,39,66,0,375,7.6,1,0
526.17,54,23,2,794,65.8,0,0
32.69,46,40,0,403,25.0,1,0
2053.76,65,138,1,588,77.5,1,0
3059.33,72,125,0,355,36.0,1,1
3582.42,59,153,5,504,59.0,0,1
1794.58,24,121,0,615,49.2,1,0
2129.52,60,139,3,489,0.7,1,0
88.89,35,112,5,569,51.8,0,0
410.34,63,170,0,387,11.0,1,0
961.82,33,141,0,696,54.6,1,0
156.14,55,60,5,606,66.6,0,0
1442.33,55,132,0,423,11.6,1,0
5195.19,70,49,0,343,9.5,1,1
789.03,71,160,0,564,4.5,1,0
1679.4,43,142,3,865,12.3,1,0
2122.39,19,179,3,415,9.0,1,0
611.98,25,27,0,592,1.5,1,0
1005.93,55,155,5,338,78.1,0,0
2471.0,63,102,0,705,63.1,1,0
2822.33,36,95,0,645,33.8,1,0
2833.24,62,25,1,437,46.0,1,0
1427.13,36,106,0,492,46.2,1,0
2305.02,67,132,2,357,38.8,0,0
816.87,68,134,0,477,19.3,0,0
1357.46,21,116,0,669,33.1,0,0
1992.82,59,31,0,547,22.5,1,0
2397.05,49,150,2,652,53.8,0,0
1046.21,24,72,0,695,95.3,0,0
2289.35,73,56,1,511,25.4,1,0
1789.37,68,174,0,785,13.3,0,0
1042.61,35,155,1,581,16.9,1,0
2190.65,32,119,1,833,15.6,1,0
6991.2,72,95,1,605,27.1,0,0
577.34,39,70,1,605,47.6,0,0
1512.27,70,153,3,627,65.4,0,0
1704.79,35,107,3,697,94.6,0,0
3958.58,40,56,5,667,17.6,1,0
2854.21,30,75,0,782,48.9,0,0
901.95,77,46,2,391,30.6,0,0
1153.27,69,84,2,566,14.2,1,0
1567.94,59,149,0,783,29.0,0,0
2189.86,38,105,0,454,9.0,0,0
1235.16,76,117,0,623,118.6,0,0
911.74,30,80,0,304,24.4,1,0
1264.06,67,40,5,390,4.2,0,0
180.98,49,98,0,338,10.2,0,0
4210.27,67,135,1,318,6.0,0,0
1217.06,41,79,0,405,81.5,1,0
1009.66,21,76,1,766,33.8,1,0
888.99,76,125,2,492,0.2,0,0
2527.6,33,57,0,516,0.0,0,0
1898.59,60,9,3,561,53.4,0,0
1885.21,72,5,0,418,25.7,1,0
2016.75,63,39,1,309,41.4,1,0
2664.33,58,155,0,728,48.7,0,0
296.61,69,27,5,503,2.0,0,0
3176.63,41,180,3,602,73.8,0,1
176.73,78,123,2,540,20.6,0,0
1815.12,55,171,5,452,30.3,0,0
3342.94,76,65,1,767,49.1,1,0
3812.68,74,10,1,668,42.7,1,0
3385.5,75,11,0,441,72.0,0,0
4145.86,36,23,2,650,41.3,0,0
141.69,72,98,5,731,45.9,0,0
1026.96,73,40,0,726,6.9,1,0
787.44,43,91,0,433,2.8,1,0
2371.36,21,16,1,621,46.8,0,0
78.94,55,144,1,646,41.4,0,0
948.54,61,173,3,452,25.4,0,1
2831.09,49,126,0,376,1.0,1,0
610.59,51,57,3,712,48.2,0,0
637.87,24,127,5,623,37.9,0,0
1191.5,44,105,0,870,12.4,0,0
2200.33,59,77,1,767,79.3,1,0
2203.99,48,84,5,672,29.5,1,0
1262.16,40,90,1,860,8.3,1,0
2061.38,27,104,0,560,26.8,0,0
2556.82,48,48,2,410,3.0,1,1
299.93,26,115,5,816,24.4,0,0
3647.92,54,110,5,820,21.8,0,0
2472.29,25,99,2,816,85.2,1,0
584.27,34,70,3,651,18.9,1,0
2235.33,63,131,1,860,50.7,1,0
3150.78,31,53,1,653,2.3,0,0
1021.11,51,138,2,418,61.6,1,0
1912.22,64,106,1,732,27.6,0,0
2030.06,61,14,1,573,23.5,0,0
856.96,22,176,1,508,0.6,0,0
784.24,62,143,1,874,36.2,1,0
1774.57,37,177,0,690,50.0,1,0
1740.88,54,13,0,557,39.1,0,0
1785.19,72,57,2,859,59.3,0,0
2420.72,30,174,0,491,12.6,0,0
1516.15,36,142,1,433,27.9,0,0
1157.65,64,39,0,457,55.8,1,0
1511.34,72,169,1,802,35.4,1,0
718.78,30,133,0,817,27.1,0,0
558.95,33,54,2,639,15.9,1,0
3181.13,49,143,0,417,2.9,1,0
2907.42,58,62,0,628,11.2,1,0
2593.61,53,72,0,829,6.6,1,0
530.0,37,166,1,628,17.5,0,0
3061.57,53,136,0,367,106.9,0,0
1643.12,46,26,1,850,59.2,1,0
3510.46,28,6,5,639,4.5,0,1
3713.68,54,18,1,564,43.8,1,0
107.71,20,99,0,847,11.1,0,0
654.28,56,11,0,666,25.5,0,0
396.7,37,112,3,704,30.3,0,0
405.61,44,139,1,447,15.5,1,0
3491.51,65,165,2,311,16.6,0,0
3220.33,53,140,0,612,21.7,0,0
2331.78,45,165,0,464,0.9,0,0
1700.61,30,171,0,862,2.7,1,0
3206.46,35,25,1,894,46.5,1,0
195.05,34,25,1,371,66.7,0,0
777.27,38,177,0,879,36.9,1,0
2081.07,39,63,1,746,13.8,1,0
2819.96,75,122,5,756,68.6,1,0
482.34,60,155,0,587,21.6,0,0
2005.69,59,19,0,319,81.4,0,0
1059.41,32,9,1,856,12.6,1,0
2090.64,76,150,1,437,52.1,1,0
2401.96,19,169,1,469,40.5,0,0
2774.39,61,37,5,667,108.0,0,0
661.11,42,59,0,511,21.1,1,0
3895.19,21,166,2,405,20.8,1,0
1042.83,30,96,3,674,70.0,0,0
1132.23,52,103,2,653,81.2,1,0
1331.01,75,35,5,469,17.0,0,0
558.39,30,40,2,421,1.6,0,0
844.64,62,122,5,515,37.2,0,0
250.09,27,146,0,437,35.9,0,0
1746.15,78,46,3,877,39.2,0,0
815.98,24,55,5,782,53.5,1,0
2183.43,69,149,0,823,27.4,1,0
135.23,57,151,0,535,63.1,1,0
1982.92,74,129,3,453,37.0,0,0
2854.34,75,136,0,395,11.4,1,0
2724.38,19,173,3,834,8.8,1,0
2974.57,33,123,3,658,33.2,0,0
1127.45,77,21,1,856,88.1,1,0
3673.49,19,147,0,832,22.3,0,0
1949.01,45,92,0,458,89.4,1,0
1132.72,46,144,2,582,98.6,1,0
1044.61,49,45,2,872,56.3,1,0
719.68,64,101,0,421,54.4,0,0
920.94,32,130,3,646,2.6,0,0
1350.69,24,37,5,745,19.1,0,0
1308.11,21,98,3,833,36.1,1,0
1762.79,71,44,5,749,35.5,0,0
295.3,37,49,0,822,40.2,0,0
549.2,60,0,0,388,13.6,1,0
292.15,56,51,0,370,52.0,0,0
913.26,56,89,2,583,30.6,0,0
2380.59,55,1,1,479,106.6,1,0
455.16,40,29,1,850,3.0,1,0
3086.79,68,62,2,769,9.1,1,0
2313.38,35,17,3,525,15.0,0,0
6.64,53,2,1,554,39.5,1,0
83.57,23,141,0,787,45.8,1,0
2135.29,66,174,1,810,0.5,0,0
1258.78,33,51,1,664,51.4,0,0
1642.43,61,126,0,854,31.1,0,0
298.95,76,147,1,802,45.2,0,0
2251.01,33,147,0,355,3.7,1,0
514.6,44,175,0,768,8.0,0,0
1021.43,19,172,1,688,35.2,0,0
316.78,54,67,1,575,0.2,1,0
671.96,46,53,3,681,41.3,1,0
1025.14,27,147,1,402,44.8,1,0
1577.9,31,37,0,784,6.8,0,0
3737.47,73,161,2,798,20.3,1,0
1495.55,25,176,0,361,10.3,0,0
891.88,47,85,1,669,28.3,1,0
2253.49,20,105,0,659,7.2,0,0
102.36,68,72,2,632,20.2,1,0
627.22,58,73,5,448,25.3,0,0
2614.64,58,146,3,373,1.8,0,0
1378.66,37,68,3,577,54.6,1,0
3508.08,52,115,3,471,4.9,0,0
1975.46,35,179,0,515,40.7,0,0
4108.6,49,140,0,326,73.1,1,0
1902.49,58,39,0,699,19.5,1,0
1073.6,27,33,0,329,23.2,0,0
2050.42,49,119,1,861,7.3,1,0
2970.49,56,152,5,877,4.2,1,0
373.92,41,123,1,391,6.5,1,0
456.7,19,0,0,652,32.2,1,0
4584.3,67,122,1,309,24.7,1,0
995.59,54,95,1,721,20.9,1,0
2471.03,43,96,1,569,75.9,0,0
1367.19,77,156,1,591,87.9,1,0
1776.27,37,28,5,763,0.2,1,0
117.33,28,12,0,490,21.8,0,0
2339.12,19,59,0,454,50.4,0,0
492.37,70,127,2,774,49.0,0,0
3247.26,22,68,3,373,61.9,1,1
2102.25,43,3,0,554,1.5,1,0
1097.83,21,50,5,396,43.0,0,0
658.2,39,40,0,862,11.4,0,0
556.42,75,13,1,415,0.4,0,0
790.32,36,149,0,705,41.6,0,0
3733.16,49,176,0,680,38.2,0,0
1082.94,40,160,0,361,20.0,1,0
400.35,27,124,1,624,47.5,1,0
289.7,63,96,2,437,29.8,1,0
402.22,37,138,5,494,24.0,0,0
446.95,74,153,0,370,60.2,0,0
1991.51,48,0,3,489,25.3,0,0
171.18,39,16,3,494,62.0,1,0
1893.43,45,164,2,413,46.9,0,0
3802.05,27,45,0,506,50.9,0,0
2787.76,72,99,5,838,50.3,1,1
1636.48,19,53,5,381,82.6,1,0
2979.09,75,106,2,359,39.0,1,0
919.82,23,55,0,403,55.5,0,0
1880.69,34,145,0,871,65.4,1,0
1400.84,62,117,3,406,32.2,0,0
491.18,61,40,5,660,5.4,1,0
4095.16,45,162,3,631,18.5,0,0
1774.24,78,65,2,763,86.4,1,0
1598.43,37,152,0,830,20.0,0,0
794.32,33,54,2,322,52.0,1,0
745.72,55,39,0,338,16.3,1,0
2125.52,56,63,1,562,49.2,1,0
1510.8,65,19,2,794,72.7,0,0
3082.08,71,24,1,338,16.9,1,1
3617.78,41,111,3,423,43.6,0,0
3216.87,59,161,3,355,54.5,1,0
383.57,39,128,1,456,66.8,0,0
5191.74,67,152,0,527,18.2,1,0
570.95,24,121,0,861,33.1,1,0
86.96,63,33,0,792,45.4,0,0
628.84,58,134,1,548,1.6,0,0
862.65,55,22,0,723,45.9,1,0
1703.58,60,6,1,473,54.2,1,0
2817.7,28,112,0,539,17.3,0,0
2548.95,24,28,0,548,73.6,0,0
1306.4,63,28,1,760,14.0,1,0
1674.81,32,139,1,861,68.1,1,0
3509.12,61,4,3,896,17.0,0,0
2133.26,63,158,1,354,29.9,1,0
2686.03,36,169,2,410,22.1,0,0
2302.38,43,130,0,623,6.4,1,0
255.36,51,117,0,340,14.9,0,0
611.16,66,40,0,655,63.7,1,0
409.26,51,70,0,563,145.8,1,0
1345.4,54,71,1,455,11.0,1,0
845.04,43,133,1,727,5.7,0,0
37.91,57,84,5,855,35.4,0,0
2406.67,70,51,0,616,58.2,0,0
